name,movie_id
Animation,862
Comedy,862
Family,862
Adventure,8844
Fantasy,8844
Family,8844
Romance,15602
Comedy,15602
Comedy,31357
Drama,31357
Romance,31357
Comedy,11862
Action,949
Crime,949
Drama,949
Thriller,949
Comedy,11860
Romance,11860
Action,45325
Adventure,45325
Drama,45325
Family,45325
Action,9091
Adventure,9091
Thriller,9091
Adventure,710
Action,710
Thriller,710
Comedy,9087
Drama,9087
Romance,9087
Comedy,12110
Horror,12110
Family,21032
Animation,21032
Adventure,21032
History,10858
Drama,10858
Action,1408
Adventure,1408
Drama,524
Crime,524
Drama,4584
Romance,4584
Crime,5
Comedy,5
Crime,9273
Comedy,9273
Adventure,9273
Action,11517
Comedy,11517
Crime,11517
Comedy,8012
Thriller,8012
Crime,8012
Drama,1710
Thriller,1710
Action,9691
Adventure,9691
Crime,9691
Thriller,9691
Drama,12665
Fantasy,12665
Science Fiction,12665
Thriller,12665
Drama,451
Romance,451
Drama,16420
Comedy,9263
Drama,9263
Family,9263
Drama,17015
Romance,17015
Fantasy,902
Science Fiction,902
Adventure,902
Drama,37557
Crime,37557
Drama,9909
Crime,9909
Science Fiction,63
Thriller,63
Mystery,63
Romance,78802
Adventure,78802
Fantasy,9598
Drama,9598
Comedy,9598
Family,9598
History,47018
Drama,47018
Romance,47018
Drama,687
Adventure,139405
History,139405
Drama,139405
Family,139405
Comedy,33689
Family,33689
Romance,33689
Comedy,9603
Drama,9603
Romance,9603
Drama,34615
Drama,31174
War,31174
Action,11443
Crime,11443
Drama,11443
History,11443
Drama,35196
Romance,35196
Action,9312
Fantasy,9312
Fantasy,577
Drama,577
Comedy,577
Thriller,577
Drama,11861
Romance,11861
Crime,807
Mystery,807
Thriller,807
Adventure,10530
Animation,10530
Drama,10530
Family,10530
Drama,8391
Romance,8391
Drama,629
Crime,629
Thriller,629
Action,117164
Thriller,117164
Drama,117164
Comedy,11448
Romance,11448
Drama,49133
Foreign,49133
Action,26441
Adventure,26441
Comedy,26441
Family,26441
Drama,97406
Comedy,9089
Drama,9089
Romance,9089
Comedy,11010
Drama,11010
Romance,11010
Thriller,99040
Drama,99040
Mystery,99040
Adventure,11359
Family,11359
Fantasy,11359
Drama,17182
Thriller,17182
Music,2054
Drama,2054
Family,2054
Comedy,10607
Comedy,19760
Romance,19760
Comedy,9536
Action,11525
Science Fiction,11525
Drama,40628
Family,40628
Comedy,4482
Romance,4482
Comedy,10634
Horror,755
Action,755
Thriller,755
Crime,755
Action,11859
Thriller,11859
Romance,11859
Comedy,28387
Drama,28387
Romance,28387
Drama,48750
History,48750
Drama,20927
Romance,20927
Comedy,36929
Family,36929
Horror,9102
Science Fiction,9102
Documentary,124626
Drama,27526
Thriller,27526
Drama,9623
Thriller,9623
Family,46785
Drama,46785
Drama,400
Crime,400
Drama,880
Comedy,880
Romance,146599
Drama,146599
Drama,8447
Romance,8447
Action,10534
Drama,10534
Adventure,17414
Comedy,17414
Family,17414
Comedy,13997
Crime,2086
Drama,2086
Thriller,2086
Drama,61548
Drama,9095
Horror,9095
Thriller,9095
Romance,9095
Comedy,12158
Horror,12158
Romance,12158
Comedy,9283
Drama,9283
Romance,9283
Action,9208
Adventure,9208
Drama,9208
Thriller,9208
Comedy,40154
Drama,406
Action,45549
Adventure,45549
Drama,45549
Science Fiction,45549
Thriller,45549
Documentary,63076
Drama,11062
Thriller,11062
Comedy,13685
Crime,13685
Drama,13685
Comedy,47475
Romance,47475
Drama,2045
Mystery,2045
Science Fiction,2045
Thriller,2045
Comedy,9614
Drama,688
Romance,688
Drama,11907
Comedy,11907
Family,11907
Action,10874
Comedy,10874
Music,10874
Family,10874
Adventure,10874
Documentary,89333
Crime,96357
Action,197
Drama,197
History,197
War,197
Crime,103
Drama,103
Crime,33542
Action,33542
Comedy,33542
Thriller,33542
Drama,43566
Thriller,43566
Drama,71754
Comedy,43612
Documentary,51352
Drama,51352
Foreign,51352
Comedy,16934
Crime,16934
Drama,16934
Comedy,10324
Romance,10324
Comedy,78406
Drama,78406
Action,55731
Adventure,55731
Comedy,55731
Drama,55731
Family,55731
Drama,32119
Comedy,11066
Romance,11066
Drama,11104
Comedy,11104
Romance,11104
Drama,37975
Romance,37975
Comedy,2074
Romance,2074
Fantasy,27793
Drama,44284
Comedy,110972
Romance,110972
Comedy,32622
Drama,32622
Drama,73067
Romance,73067
War,73067
Action,11863
Thriller,11863
Mystery,11863
Romance,11863
Comedy,55475
Drama,55475
Romance,55475
Music,124636
Documentary,124636
Comedy,9101
Documentary,123360
Comedy,5757
Drama,39428
Drama,9302
Romance,9302
Comedy,11000
Drama,249882
Comedy,16388
Drama,16388
Romance,16388
Action,9737
Comedy,9737
Crime,9737
Thriller,9737
Action,30765
Adventure,30765
Drama,30765
Family,30765
Drama,10474
Crime,10474
Romance,22279
Drama,22279
Comedy,22279
Crime,30157
Comedy,30157
Drama,30157
Thriller,30157
Drama,568
Adventure,11780
Drama,34996
Horror,34996
Action,414
Crime,414
Fantasy,414
Drama,649
Romance,649
Drama,1873
Thriller,1873
Comedy,5894
Action,1775
Comedy,1775
Fantasy,8839
Comedy,8839
Family,8839
Mystery,20649
Crime,20649
Drama,20649
Action,10329
Adventure,10329
Drama,10329
Mystery,10329
Science Fiction,10329
Thriller,10329
Action,8963
Thriller,8963
Drama,8963
Documentary,26564
Thriller,8068
Action,8068
Crime,8068
Drama,8512
Mystery,8512
Thriller,8512
Action,1572
Thriller,1572
Action,13552
Comedy,13552
Crime,13552
Drama,13552
Drama,259209
Crime,259209
Action,6520
Adventure,6520
Drama,6520
Romance,6520
Adventure,9073
Action,10428
Crime,10428
Thriller,10428
Drama,10428
Comedy,17447
Drama,17447
Romance,17447
Adventure,9886
Action,9886
Drama,9886
Science Fiction,9886
Thriller,9886
Science Fiction,9482
Comedy,19326
Drama,19326
Drama,9344
Crime,9344
Drama,9071
Comedy,9071
Mystery,8973
Horror,8973
Thriller,8973
Comedy,15730
Drama,15730
Drama,47608
Family,47608
Romance,47608
Romance,2293
Comedy,2293
Action,9070
Adventure,9070
Science Fiction,9070
Family,9070
Fantasy,9070
Comedy,68274
Drama,68274
Romance,68274
Thriller,48787
Foreign,48787
Horror,34574
Thriller,34574
Crime,1642
Drama,1642
Mystery,1642
Thriller,1642
Action,1642
Comedy,11472
Comedy,36196
Fantasy,11980
Horror,11980
Thriller,11980
Fantasy,58372
Comedy,58372
Drama,58372
Drama,32646
Drama,10533
History,10533
Romance,10533
Documentary,56088
Drama,10802
Comedy,10149
Drama,10149
Comedy,18402
Science Fiction,9348
Horror,9348
Action,9348
Drama,139408
Crime,281
Drama,281
Science Fiction,281
Thriller,281
Drama,5967
Romance,5967
Thriller,79593
Drama,47939
Fantasy,47939
Drama,36834
Romance,36834
Comedy,9090
Action,3512
Thriller,3512
Comedy,52856
Drama,52856
Family,52856
Documentary,77350
Drama,9560
Romance,9560
Adventure,9804
Action,9804
Drama,31611
Action,65796
Western,65796
Drama,49805
Adventure,26258
Action,26258
Comedy,26258
