name,movie_id
Pixar Animation Studios,862
TriStar Pictures,8844
Teitler Film,8844
Interscope Communications,8844
Warner Bros.,15602
Lancaster Gate,15602
Twentieth Century Fox Film Corporation,31357
Sandollar Productions,11862
Touchstone Pictures,11862
Regency Enterprises,949
Forward Pass,949
Warner Bros.,949
Paramount Pictures,11860
Scott Rudin Productions,11860
Mirage Enterprises,11860
Sandollar Productions,11860
Constellation Entertainment,11860
Worldwide,11860
Mont Blanc Entertainment GmbH,11860
Walt Disney Pictures,45325
Universal Pictures,9091
Imperial Entertainment,9091
Signature Entertainment,9091
United Artists,710
Eon Productions,710
Columbia Pictures,9087
Castle Rock Entertainment,9087
Columbia Pictures,12110
Castle Rock Entertainment,12110
Enigma Pictures,12110
Universal Pictures,21032
Amblin Entertainment,21032
Amblimation,21032
Hollywood Pictures,10858
Cinergi Pictures Entertainment,10858
Le Studio Canal+,1408
Laurence Mark Productions,1408
Metro-Goldwyn-Mayer (MGM),1408
Carolco Pictures,1408
Universal Pictures,524
LÃ©gende Entreprises,524
Syalis DA,524
De Fina-Cappa,524
Columbia Pictures Corporation,4584
Mirage Enterprises,4584
Miramax Films,5
A Band Apart,5
O Entertainment,9273
Warner Bros.,9273
Morgan Creek Productions,9273
Columbia Pictures,11517
Jersey Films,8012
Metro-Goldwyn-Mayer (MGM),8012
Regency Enterprises,1710
New Regency Pictures,1710
Silver Pictures,9691
Canal+,9691
Warner Bros.,9691
Dino De Laurentiis Company,9691
Donner/Shuler-Donner Productions,9691
Evansgideon/Lazar,9691
Caravan Pictures,12665
Hollywood Pictures,12665
United Artists,451
Intial Productions,451
Columbia Pictures,16420
Castle Rock Entertainment,16420
New Line Cinema,9263
BBC Films,17015
Procirep,902
Constellation Productions,902
France 3 CinÃ©ma,902
Claudie Ossard Productions,902
Eurimages,902
MEDIA Programme of the European Union,902
Cofimage 5,902
TelevisiÃ³n EspaÃ±ola (TVE),902
Tele MÃ¼nchen Fernseh Produktionsgesellschaft (TMG),902
Club d'Investissement MÃ©dia,902
Canal+ EspaÃ±a,902
ElÃ­as Querejeta Producciones CinematogrÃ¡ficas S.L.,902
Centre National de la CinÃ©matographie (CNC),902
Victoires Productions,902
Constellation,902
LumiÃ¨re Pictures,902
Canal+,902
Studio Image,902
Cofimage 4,902
Ossane,902
Phoenix Images,902
MinistÃ¨re des Affaires ÃtrangÃ¨res,37557
Alpha Films,37557
La Sept CinÃ©ma,37557
Hollywood Pictures,9909
Via Rosa Productions,9909
Don Simpson/Jerry Bruckheimer Films,9909
Universal Pictures,63
Atlas Entertainment,63
Classico,63
Iwerks Entertainment,78802
Universal Pictures,9598
Kennedy Miller Productions,9598
StudioCanal,47018
CinÃ©a,47018
Euston Films,47018
Freeway Films,47018
European Co-production Fund,47018
Polygram Filmed Entertainment,47018
Orsans Productions,47018
Havoc,687
PolyGram Filmed Entertainment,687
Working Title Films,687
Sony New Technologies,139405
Dualstar Productions,33689
Warner Bros.,33689
Rysher Entertainment,33689
Orr & Cruickshank,33689
Paramount Pictures,9603
Miramax,34615
Distant Horizon,34615
Alpine Pty Limited,34615
British Screen,31174
Mayfair Entertainment International,31174
Caravan Pictures,11443
Underworld Entertainment,11443
Hollywood Pictures,11443
Miramax Films,35196
New Line Cinema,9312
Threshold Entertainment,9312
The Rank Organisation,577
Columbia Pictures Corporation,577
Universal Pictures,11861
Amblin Entertainment,11861
New Line Cinema,807
Juno Pix,807
Cecchi Gori Pictures,807
Walt Disney Pictures,10530
Walt Disney Feature Animation,10530
Alliance Communications Corporation,8391
